serial_no,facility_name,provider_type,state,lga,city,address,phone,email,accreditation_hint,latitude,longitude,geocode_status,source_url,extracted_at,source_code
nhia_hcp_0469,Kuje Primary Health Centre,clinic,FCT,,Abuja,PRIMARY HEALTH CARE CENTRE Near Local Govt Area Council Secretariat.,,,NHIA directory code FCT/0114/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0114/P
nhia_hcp_0470,Kwali General Hospital,hospital,FCT,,Abuja,"Off Abaji/Lokoja Road, Near Area Council Secretariat, Kwali,",,,NHIA directory code FCT/0103/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0103/P
nhia_hcp_0471,LeahJada-Joseph Medical Centre,clinic,FCT,Kuje,Abuja,"AA3, PLOT 34, ALONG NNPC ROAD BEHIND AFFINITY RESIDENCE GWUDABE KUJE, ABUJA. F.C.T",,,NHIA directory code FCT/0676/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0676/P
nhia_hcp_0472,Life Point Medical Center,clinic,FCT,Abuja Municipal Area Council,Abuja,"Plot 64, Moses Majekodummi Crescent, Utako District, Abuja",,,NHIA directory code FCT/0668/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0668/P
nhia_hcp_0473,"Limi Hospital & Mat., Ltd.",hospital,FCT,Abuja Municipal Area Council,Abuja,"Plot 541, constitution avenue,Behind ndic/Icpc, Central Area, Abuja.",,,NHIA directory code FCT/0120/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0120/P
nhia_hcp_0474,Living Stream Specialist Hospi,hospital,FCT,Gwagwalada,Abuja,"Plot 42,Phase 1,Layout3,Opposite Omoye Hostel Complex,Near Sharia Court of Apeal.Gwagwalada",,,NHIA directory code FCT/0336/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0336/P
nhia_hcp_0475,Lona City Hospital Nig Ltd,hospital,FCT,,Abuja,"plot 109 Cadastral Zone,Jikwoyi Phase 3 by the Transformer. FCT, Abuja.",,,NHIA directory code FCT/0749/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0749/P
nhia_hcp_0476,Maitama District Hospital,hospital,FCT,Abuja Municipal Area Council,Abuja,NO.16 AGUIYI IRONSI STREET MAITAMA. FCT.,,,NHIA directory code FCT/0091/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0091/P
nhia_hcp_0477,Maraba Clinic & Maternity,clinic,FCT,Gwagwalada,Abuja,"Behind Bank of the North, Gwagwalada, Abuja",,,NHIA directory code FCT/0482/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0482/P
nhia_hcp_0478,MAYFIELD SPECIALIST HOSPITAL,hospital,FCT,,Abuja,,,,NHIA directory code FCT/0901/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0901/P
nhia_hcp_0479,MD Abubakar Hospital,hospital,FCT,,Abuja,"Dei, dei. Abuja",,,NHIA directory code FCT/0697/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0697/P
nhia_hcp_0480,Medical Centre (Council of Legal Education) Nigerian Law Sch,clinic,FCT,Bwari,Abuja,"Nigerian Law School, Bwari, P.M.B. 170, Garki, Abuja",,,NHIA directory code FCT/0370/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0370/P
nhia_hcp_0481,"MEDICROWN HEALTH CENTRE, ABUJA",clinic,FCT,,Abuja,FCT,,,NHIA directory code FCT/1053/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/1053/P
nhia_hcp_0482,Medirest Health Consulting Big. Ltd-FCT/,hospital,FCT,,Abuja,,,,NHIA directory code FCT/0933/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0933/P
nhia_hcp_0483,MEGFILS SPECIALIST CLINIC LTD,clinic,FCT,,Abuja,"FCT, ABUJA",,,NHIA directory code FCT/0865/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0865/P
nhia_hcp_0484,Mev Specialist Hospital,hospital,FCT,,Abuja,FCT,,,NHIA directory code FCT/0815/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0815/P
nhia_hcp_0485,Micheal Cross Specialist Hospital,hospital,FCT,Abuja Municipal Area Council,Abuja,"Plot F9 Church Road, Karu Site, Karu, Abuja.",,,NHIA directory code FCT/0392/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0392/P
nhia_hcp_0486,Midland Clinic,clinic,FCT,Abuja Municipal Area Council,Abuja,"Karu-Site By Bus Stop, Karu, Abuja",,,NHIA directory code FCT/0015/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0015/P
nhia_hcp_0487,Ministry Of Defence Staff Clinic,clinic,FCT,Abuja Municipal Area Council,Abuja,"Ship House, Olusegun Obasanjo Way, Area 10, Garki",,,NHIA directory code FCT/0149/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0149/P
nhia_hcp_0488,Miracle Seed Clinic & Maternity,clinic,FCT,Bwari,Abuja,"40b Dasuki Street, Phase II, Site 2, Kubwa, Abuja",,,NHIA directory code FCT/0045/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0045/P
nhia_hcp_0489,MLOSH Clinics Abuja,hospital,FCT,,Abuja,Abuja,,,NHIA directory code FCT/0707/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0707/P
nhia_hcp_0490,Model Care Hospital,hospital,FCT,,Abuja,,,,NHIA directory code FCT/0711/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0711/P
nhia_hcp_0491,MUHAMMADU BUHARI POLICE HOSP-,hospital,FCT,Abuja Municipal Area Council,Abuja,"POLICE CANTONMENT, AREA 11, GARKI, ABUJA.",,,NHIA directory code FCT/0955/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0955/P
nhia_hcp_0492,NAF Sick Bay,hospital,FCT,,Abuja,Abuja,,,NHIA directory code FCT/0583/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0583/P
nhia_hcp_0493,National Assembly Clinic,clinic,FCT,Abuja Municipal Area Council,Abuja,"Three Arm Zone, Central Area, Abuja.",,,NHIA directory code FCT/0122/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0122/P
nhia_hcp_0494,National Hospital Abuja,hospital,FCT,Abuja Municipal Area Council,Abuja,Central Area.,,,NHIA directory code FCT/0330/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0330/P
nhia_hcp_0495,NAVAL MEDICAL CENTRE KUJE- FCT/0,clinic,FCT,,Abuja,,,,NHIA directory code FCT/0842/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0842/P
nhia_hcp_0496,Nigeria Customs Service Clinics - Wuse,hospital,FCT,Abuja Municipal Area Council,Abuja,"Wuse Zone 3, Abuja",,,NHIA directory code FCT/0343/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0343/P
nhia_hcp_0497,Nigeria Customs Service Med. Centre - Karu,hospital,FCT,Abuja Municipal Area Council,Abuja,"Karu Customs Barracks, Abuja",,,NHIA directory code FCT/0344/P,,,city_only,https://integratedhealthcareltd.com/provider-directory-nhia/,2026-04-23T11:40:35Z,FCT/0344/P
